p_productImg,p_productName,p_price,p_description,p_categoryId
8258d8de-e129-44e9-9963-a33f6617f706.jpg,"Beaphar Vinka,кормовая добавка для укрепления иммунитета декоративных птиц,50 мл.",2 210,"Декоративным птицам старше 6-недельного возраста при недостатке витаминов и минералов в корме, для укрепления иммунитета, преодоления стрессовых ситуаций, поддержки организма на выставках и в сезон размножения. - Витамин А способствует росту организм..",35
6b27b40e-6967-4f0e-8aff-3d037fd5d751.jpg,"Lolo pets,дополнительная кормовая смесь c углем для птиц,8 гр.",320,"Дополнительная кормовая смесь.Состав: древесный уголь.Дозировка: Добавлять в основной корм одну чайную ложку смеси два раза в неделю.Натуральный уголь для всех видов декоративных птиц.Регулирует пищеварение, поглощает токсины и вредные вещества...",35
f69cfe55-de6a-423f-a41d-416083436cfd.jpg,"LoLo Pets,зерновые палочки для попугаев нимф,2 шт.",800,"2 питательные зерновые палочки, являются идеальным дополнением к корму вашей птицы, содержат витамины А, B1, B2, D3, E..",35
a4c8fbed-2359-49d6-86b2-f038d4cd3d3c.jpg,"Lolo pets,зерновые палочки с орехами для попугаев нимф,2 шт.",800,"2 питательные зерновые палочки, являются идеальным дополнением к корму вашей птицы, содержат витамины А, B1, B2, D3, E..",35
208f8166-5a2f-4ac2-8924-b3ac29173d7b.jpg,"Lolo pets,лакомство для волнистых попугаев палочки с клубникой,90 гр.",800,"Дополнительная кормовая смесь с клубникой. Состав: просо желтое, просо красное, пшеничная мука, семена масличного нуга, семена сафлора, плоды черной бузины, кокосовая стружка, яблоко, апельсиновая цедра, дрожжи. медовый: просо желтое, просо красное, ..",35
1a9394d9-e71d-434e-806b-4c6494c40c23.jpg,"Lolo pets,лакомство для волнистых попугаев с киви,90 гр.",800,"Дополнительная кормовая смесь.Состав: просо желтое, просо белое, масличный нуг, киви сушеный, льняное семя, пшеничная мука, дрожжи...",35
c730323c-62a9-4465-aad1-b8f96555c76a.jpg,"Lolo pets,лакомство для волнистых попугаев,с медом,90 гр.",800,"Дополнительная кормовая смесь, лакомство идеально дополняет базовое меню птиц витаминами и минеральными веществамиСостав: просо желтое, просо красное, очищенный овес, сорго красное, льняное семя, смена конопли, пшеничная мука...",35
db0fdd81-0fbf-483c-854a-afb8f7282233.jpg,"LoLo Pets,лакомство для волнистых попугаев,яичные палочки,90 гр.",800,The description is not specified,35
ab70213d-7c91-4cec-a1bf-4cbc88afea58.jpg,"LoLo Pets,лакомство для канареек с фруктами,60 гр.",800,"Дополнительный корм., Smakers Lolo petsСостав: злаки и злаковые продукты 51%, фрукты 25%, выпечка 18%, масличные семена 6%. Анализ: белки 11.6%, жир 4.1%, клетчатка 4.3%, зола 3.8%..",35
78625fcb-8d25-460f-ae6b-5a382be8d87b.jpg,"Lolo pets,лакомство для птиц неразлучников,с фруктами,90 гр.",800,"Дополнительная кормовая смесь.Состав: просо желтое, сорго красное, канареечник канарский, просо красное, пшеничная мука, очищенный овес, сорго белое, масличный нуг, льняное семя, цедра апельсиновая, бузина черная, кокосовая стружка, сафлор, семена ко..",35
dda21dd4-4a29-4aa8-b83c-ffb3f2374f47.jpg,"Lolo pets,лакомство для птиц,сенегальское просо в колосьях,100 гр.",800,"Подобно птицам, живущим в природе, домашние пернатые с огромным удовольствием выклевывают зерна из натуральных соцветий. При этом, благодаря естественной сохранности и тонкой шелухе зернышки из колосьев лучше усваиваются организмом птицы. Это особенн..",35
e7069115-b4ce-40eb-8630-250cf87702c6.jpg,"Lolo pets,минеральный камень для декоративных птиц с апельсином,35 гр.",500,"LOLO PETS Mineral block for birds Orange - минеральный камень с апельсином для птиц. Минеральные вещества и микроэлементы жизненно необходимы всем птицам. Они участвуют в формировании костей, перьев, яиц и задействованы во всех процессах обмена вещес..",35
0b88d1a0-f279-4e33-8e80-b71bbac3b03b.jpg,"Lolo pets,минеральный камень натуральный для декоративных птиц XL,190 гр.",1 050,Лакомство для попугаев!Минеральная кормовая смесь.Состав: карбонат кальция 100%..,35
aeef0cab-0280-4164-ab8a-43a013f85b8b.jpg,"Lolo pets,минеральный камень натуральный для декоративных птиц,35 гр.",500,Минеральныйкамень для декоративных птицСостав: карбонат кальция 100%..,35
60a9896d-39f1-48b8-81b4-fa6a36774fcf.jpg,"LoLo Pets,минеральный камень с яблоком для птиц,190 гр.",500,"Lolo Pets Минеральный камень с яблоком для птицLoLo Pets Mineral block for birds Apple - минеральный камень с яблоком для птиц. Минеральные камни содержат большое количество витаминов и минералов, необходимых волнистым попугаям. В основном в состав м..",35
86a5e0c4-e2c2-463f-98b1-f23a3afa5010.jpg,"LoLo Pets,смакерсы для волнистых попугаев в период линьки,90 гр.",1 000,"LOLO PETS Smakers на время линьки – это специальная кормовая добавка к ежедневному рациону волнистых попугаев. В составе исключительно натуральные семена растений, просо и арахис, прошедшие тщательный отбор и чистку. Вкусняшка, с удовольствием поедае..",35
f08f5ca6-d212-4412-a6f9-6fde29909b57.jpg,"Trixie,панцирь каракатицы с добавками для птиц,12 см.",700,"Панцирь каракатицы (ванильный, шоколадный, лимонный)..",35
9522d192-a129-469e-aeda-22be993d8500.jpg,"Жорка,конфеты для волнистых попугаев с кунжутом,100 гр",400,"Жорка - медовые конфеты - отличное сочетание зерновой смеси с добавлением кунжутного семяни и палочки сибирских пород деревьев, содержащих в коре минералы и витамины, необходимые для хорошего обмена веществ Вашего попугая.Состав: семена луговых трав,..",35
a8cf9505-6eb8-419f-bd8a-446b8425e2cd.jpg,"Жорка,конфеты для волнистых попугаев с морской капустой,100 гр.",400,"Медовые батончики «Жорка» - прекрасное сочетание зерновой смеси и морской капусты, позволяющей избежать появления заболеваний щитовидной железы у Вашего пернатого любимца.Состав: Просо, семена луговых трав, овёс, морская капуста, мёд и сахар...",35
1cc72eae-e024-4da5-8856-0429608ee621.jpg,"Жорка,конфеты для молодых волнистых попугаев,100 гр.",400,"Жорка для молодых попугаев - восхитительное сочетание зерновой смеси и палочки сиб-ских пород деревьев, позволяющей Вашему попугайчику вырасти бодрым и здоровым.Состав: Просо, семена луговых трав, овсянка, манная крупа, мёд, сахар...",35
0ba93fa8-d1fc-4f3a-b783-0fd1cb4dd38d.jpg,"Жорка,конфеты для попугаев с шиповником",400,"Конфеты «Жорка» — прекрасное сочетание зерновой смеси с добавлением льняного семени и палочки сибирских пород деревьев, содержащих в коре витамины и минералы, необходимые для правильного обмена веществ Вашего пернатого любимца...",35
e487d745-87e6-4633-8f2b-b62b18b89eb0.jpg,"Жорка,конфеты с рыбьим жиром для волнистых попугаев,100 гр.",400,"Медовые конфеты «Жорка» с рыбьим жиром - прекрасное сочетание зерновой смеси с добавлением рыбьего жира, предотвращающего появление авитаминоза у Вашего пернатого любимца...",35
4fe0cd41-54a3-4411-86a1-18b5cdddc66d.jpg,"Жорка,медовые батончики для волнистых попугаев,100 гр.",520,"Медовые батончики для волнистых попугаев «Жорка» «Экстра» - прекрасное сочетание зерновой смеси с добавлением льняного семени и палочки сибирских пород деревьев, содержащей в коре витамины и минералы, необходимые для правильного обмена веществ Вашего..",35
fcb2254c-aedc-4dd3-bf30-20ad2c8c7f9c.jpg,"Жорка,минерально-солевой камень для птиц,обогащенный йодом,2 шт.",280,"Жорка Минерально-солевой камень для птиц, обогащенный йодом (2 шт.)Минерально-солевой камень для птиц ""Жорка"" позволяет наточить клюв, восполняет недостаток минеральных веществ и йода, уменьшает риск заболевания щитовидной железы. Состав:Обогащенный ..",35
3dbf1009-b529-4d82-a24f-5de1e51ca196.jpg,"Beaphar Vinka,кормовая добавка для укрепления иммунитета декоративных птиц,50 мл.",2 210,"Декоративным птицам старше 6-недельного возраста при недостатке витаминов и минералов в корме, для укрепления иммунитета, преодоления стрессовых ситуаций, поддержки организма на выставках и в сезон размножения. - Витамин А способствует росту организм..",35
e5c114d1-2b74-4736-b8ab-22a9381e9576.jpg,"Lolo pets,дополнительная кормовая смесь c углем для птиц,8 гр.",320,"Дополнительная кормовая смесь.Состав: древесный уголь.Дозировка: Добавлять в основной корм одну чайную ложку смеси два раза в неделю.Натуральный уголь для всех видов декоративных птиц.Регулирует пищеварение, поглощает токсины и вредные вещества...",35
6165e57d-1eb4-428b-9e04-db6ca903ec60.jpg,"LoLo Pets,зерновые палочки для попугаев нимф,2 шт.",800,"2 питательные зерновые палочки, являются идеальным дополнением к корму вашей птицы, содержат витамины А, B1, B2, D3, E..",35
db61de8a-720c-45b2-a214-5978991d142e.jpg,"Lolo pets,зерновые палочки с орехами для попугаев нимф,2 шт.",800,"2 питательные зерновые палочки, являются идеальным дополнением к корму вашей птицы, содержат витамины А, B1, B2, D3, E..",35
9f08d63e-7d6d-44cb-bbd3-f28de5011b36.jpg,"Lolo pets,лакомство для волнистых попугаев палочки с клубникой,90 гр.",800,"Дополнительная кормовая смесь с клубникой. Состав: просо желтое, просо красное, пшеничная мука, семена масличного нуга, семена сафлора, плоды черной бузины, кокосовая стружка, яблоко, апельсиновая цедра, дрожжи. медовый: просо желтое, просо красное, ..",35
62338b91-f74c-43b9-9f2d-62f1c5dba597.jpg,"Lolo pets,лакомство для волнистых попугаев с киви,90 гр.",800,"Дополнительная кормовая смесь.Состав: просо желтое, просо белое, масличный нуг, киви сушеный, льняное семя, пшеничная мука, дрожжи...",35
2d4aefeb-255d-4222-9935-17a743a459df.jpg,"Lolo pets,лакомство для волнистых попугаев,с медом,90 гр.",800,"Дополнительная кормовая смесь, лакомство идеально дополняет базовое меню птиц витаминами и минеральными веществамиСостав: просо желтое, просо красное, очищенный овес, сорго красное, льняное семя, смена конопли, пшеничная мука...",35
5f5b9743-de72-4fa9-b4ad-930497604312.jpg,"LoLo Pets,лакомство для волнистых попугаев,яичные палочки,90 гр.",800,The description is not specified,35
6ab64151-da6b-46ad-876d-35420f1761b6.jpg,"LoLo Pets,лакомство для канареек с фруктами,60 гр.",800,"Дополнительный корм., Smakers Lolo petsСостав: злаки и злаковые продукты 51%, фрукты 25%, выпечка 18%, масличные семена 6%. Анализ: белки 11.6%, жир 4.1%, клетчатка 4.3%, зола 3.8%..",35
67b89aa4-a7e4-4dbf-89c6-b9d5ddca41c0.jpg,"Lolo pets,лакомство для птиц неразлучников,с фруктами,90 гр.",800,"Дополнительная кормовая смесь.Состав: просо желтое, сорго красное, канареечник канарский, просо красное, пшеничная мука, очищенный овес, сорго белое, масличный нуг, льняное семя, цедра апельсиновая, бузина черная, кокосовая стружка, сафлор, семена ко..",35
a99e7642-02f2-405f-8828-047ddb420875.jpg,"Lolo pets,лакомство для птиц,сенегальское просо в колосьях,100 гр.",800,"Подобно птицам, живущим в природе, домашние пернатые с огромным удовольствием выклевывают зерна из натуральных соцветий. При этом, благодаря естественной сохранности и тонкой шелухе зернышки из колосьев лучше усваиваются организмом птицы. Это особенн..",35
b848b99d-7bd9-417d-bc7e-27596f06045a.jpg,"Lolo pets,минеральный камень для декоративных птиц с апельсином,35 гр.",500,"LOLO PETS Mineral block for birds Orange - минеральный камень с апельсином для птиц. Минеральные вещества и микроэлементы жизненно необходимы всем птицам. Они участвуют в формировании костей, перьев, яиц и задействованы во всех процессах обмена вещес..",35
8f2add48-443e-4c60-b07e-6e947d9017d1.jpg,"Lolo pets,минеральный камень натуральный для декоративных птиц XL,190 гр.",1 050,Лакомство для попугаев!Минеральная кормовая смесь.Состав: карбонат кальция 100%..,35
a855bdb2-b61b-45dd-b007-3bb0382aec1d.jpg,"Lolo pets,минеральный камень натуральный для декоративных птиц,35 гр.",500,Минеральныйкамень для декоративных птицСостав: карбонат кальция 100%..,35
776d5c24-a892-4075-9c58-dc7b0bda6b73.jpg,"LoLo Pets,минеральный камень с яблоком для птиц,190 гр.",500,"Lolo Pets Минеральный камень с яблоком для птицLoLo Pets Mineral block for birds Apple - минеральный камень с яблоком для птиц. Минеральные камни содержат большое количество витаминов и минералов, необходимых волнистым попугаям. В основном в состав м..",35
f00b56a4-33e0-473e-80d0-366f1392fb20.jpg,"LoLo Pets,смакерсы для волнистых попугаев в период линьки,90 гр.",1 000,"LOLO PETS Smakers на время линьки – это специальная кормовая добавка к ежедневному рациону волнистых попугаев. В составе исключительно натуральные семена растений, просо и арахис, прошедшие тщательный отбор и чистку. Вкусняшка, с удовольствием поедае..",35
2ccf2ba8-b78d-4b2c-b50b-f18eb7198e5b.jpg,"Trixie,панцирь каракатицы с добавками для птиц,12 см.",700,"Панцирь каракатицы (ванильный, шоколадный, лимонный)..",35
eeed4013-2179-4c29-9ea6-b1a936af90d6.jpg,"Жорка,конфеты для волнистых попугаев с кунжутом,100 гр",400,"Жорка - медовые конфеты - отличное сочетание зерновой смеси с добавлением кунжутного семяни и палочки сибирских пород деревьев, содержащих в коре минералы и витамины, необходимые для хорошего обмена веществ Вашего попугая.Состав: семена луговых трав,..",35
70f3acfb-4a25-4566-9bc2-0929159b16a0.jpg,"Жорка,конфеты для волнистых попугаев с морской капустой,100 гр.",400,"Медовые батончики «Жорка» - прекрасное сочетание зерновой смеси и морской капусты, позволяющей избежать появления заболеваний щитовидной железы у Вашего пернатого любимца.Состав: Просо, семена луговых трав, овёс, морская капуста, мёд и сахар...",35
52312389-668c-44ed-90f2-9ec935e89b90.jpg,"Жорка,конфеты для молодых волнистых попугаев,100 гр.",400,"Жорка для молодых попугаев - восхитительное сочетание зерновой смеси и палочки сиб-ских пород деревьев, позволяющей Вашему попугайчику вырасти бодрым и здоровым.Состав: Просо, семена луговых трав, овсянка, манная крупа, мёд, сахар...",35
57c6604d-957f-45d1-98a2-b99e782db3b3.jpg,"Жорка,конфеты для попугаев с шиповником",400,"Конфеты «Жорка» — прекрасное сочетание зерновой смеси с добавлением льняного семени и палочки сибирских пород деревьев, содержащих в коре витамины и минералы, необходимые для правильного обмена веществ Вашего пернатого любимца...",35
34ee4309-6140-4331-a9c5-0f9e3076ba37.jpg,"Жорка,конфеты с рыбьим жиром для волнистых попугаев,100 гр.",400,"Медовые конфеты «Жорка» с рыбьим жиром - прекрасное сочетание зерновой смеси с добавлением рыбьего жира, предотвращающего появление авитаминоза у Вашего пернатого любимца...",35
ee1cbdeb-202e-42a6-9d66-cd4f6b79e7d0.jpg,"Жорка,медовые батончики для волнистых попугаев,100 гр.",520,"Медовые батончики для волнистых попугаев «Жорка» «Экстра» - прекрасное сочетание зерновой смеси с добавлением льняного семени и палочки сибирских пород деревьев, содержащей в коре витамины и минералы, необходимые для правильного обмена веществ Вашего..",35
adb58e02-5da2-4572-b1bc-bc10858ae32e.jpg,"Жорка,минерально-солевой камень для птиц,обогащенный йодом,2 шт.",280,"Жорка Минерально-солевой камень для птиц, обогащенный йодом (2 шт.)Минерально-солевой камень для птиц ""Жорка"" позволяет наточить клюв, восполняет недостаток минеральных веществ и йода, уменьшает риск заболевания щитовидной железы. Состав:Обогащенный ..",35
