p_productImg,p_productName,p_price
831f858e-e32a-4609-ad27-03d956750f81.jpg,"Ешка - Кормовая смесь для волнистых попугаев с орехом, 500 г",450 
48b65ee3-dd76-494b-bf16-395f9063fe23.jpg,№1 - Поилка для грызунов 500 мл №1 1404,3 000 
36a0fbec-90d6-4d49-b357-ee495f22c672.jpg,"Sheba (Шеба) - Влажный корм для кошек с курицей и кроликом в соусе, пауч 85 г",185 
549338c5-9b10-46b7-952b-40ebe9cbbece.jpg,"Whiskas (Вискас) - Мини-филе курица желе, пауч 85 г",130 
409573cb-c05c-435f-b9c2-423bb5bc2a43.jpg,Сибирская кошка - Наполнитель лесной 7 л,1 300 
afc502d6-a537-45a0-bc3f-df36d8bf0dd7.jpg,Triol (Триол) - Поилка для грызунов B2-250 ML,2 000 
bdde9713-a539-42bf-b104-258098fd4ab4.jpg,Haoyu (Хаою) - Силикагелевый Наполнитель - Цветные гранулы (развес),Нет в наличии
f0c786e6-4c8e-4725-818d-0eae7bd798a6.jpg,"Sima (Сима) - Ролик для чистки одежды, 18х19х6,5 см",1 400 
ac739f88-2fb8-4b54-a5a3-53ae1ff27a6e.jpg,Triol (Триол) - Игрушка «Трекбол» открытый для кошек Р1108-1,4 000 
538ed6d1-0331-438a-8b3c-6f48f59c8d78.jpg,"Edel cat (Эдель Кэт) - Крем-суп со вкумом птица-печень, 1 шт",250 
fcb5488b-d6c6-47ed-9605-126cddc30497.jpg,"Ешка - Корм для всех животных и птиц, пшеница , 500 г",450 
e00163c0-1644-4028-b63b-5d35e9585b93.jpg,"Whiskas (Вискас) - Влажный корм для кошек паштет с уткой, пауч 85 г",130 
45026bc0-5ad3-4122-8e57-73e61e64c5ee.jpg,"Sheba (Шеба) - Влажный корм для кошек с курицей и индейкой в соусе, пауч 85 г",185 
cef84053-8650-4c12-829e-5244c8c4e134.jpg,"Triol (Триол) - Мышь сизаль с пером, Игрушка для кошек, 14 см",500 
45094476-24b1-486f-96ad-047dcfa886d8.jpg,Каскад - Ошейник №35 кожаный с синтепоном,2 100 
4c8cbbd3-bfac-4516-9db3-2aa2f5a70a72.jpg,Биовакс - Ошейник для кошек 35 см,900 
13979500-50d4-4ea5-87f2-21948a94255d.jpg,TiTBit (ТитБит) - Корень бычий догодент 2,1 800 
9804b03a-a568-41ea-8b50-42c8bd92c396.jpg,"Royal Canin (Роял Канин) - C.C. Club, корм для взрослых собак (развес)",1 500 
deb56c6c-3198-4ab3-9ffa-aa2bfb662c9d.jpg,Дарэлл - Сумка-переноска ЧИП - Туннель №1,3 800 
1b04c230-9150-43c2-9aca-d721afd05597.jpg,"Whiskas (Вискас) - Влажный корм для кошек рагу с говядиной и овощами, пауч 85 г",130 
ac01397b-3a32-4190-a7be-50ba73c49075.jpg,Каскад - Ошейник №35 кожаный двойной без украшений,3 500 
9b111d12-9cce-4355-aa53-29187a637e8f.jpg,"Мнямс - Лакомство Палочка для кошек цыпленок и печень, 3 шт",500 
ed02705b-55e3-47d0-9e31-8cfabdd7df43.jpg,Вака - Поводок капроновый 30 мм 3 м,1 500 
364ca5df-84f3-48a1-a02a-a79992e372da.jpg,"Анандин - Ушные капли для кошек и собак, 5 мл",900 
627eb83a-e12a-407f-a79e-1eee1b737cba.jpg,"Биовакс - Шампунь для кошек длинношерстных, 355 мл",1 000 
c69ee68f-9285-48dd-9f7f-ea9619dc7706.jpg,"Triol (Триол) - Мяч радужный для кошек, 4 см",250 
64038f22-d1a1-4a9f-bf66-914f7c289519.jpg,"Edel cat (Эдель Кэт) - Колбаски лосось + форель, 1 шт",220 
81bdf974-c6fa-47ad-b840-06c0b5a91072.jpg,"Monge (Монже) - Indoor Cat, корм для кошек, живущих дома (развес)",2 500 
ca54d2da-27bc-4b3f-b1b3-d85245b63b07.jpg,"ZooМИР - Поводок брезентовый (35) 1,5 м",2 000 
edcb4675-e335-418b-8553-fdb575f69c80.jpg,Little One (Литл Ван) - Корм для кроликов 900 г,1 800 
44210dd3-a2b0-4a9a-927b-7eda43a9d781.jpg,"Ночной охотник - Сухой корм для кошек мясное ассорти, 10 кг",Нет в наличии
c0a5bb6f-e269-4879-9e55-57fa201a5039.jpg,Каскад - Ошейник №45 2 слоя не украшенный,5 000 
7eebfc87-8271-4c55-bb43-c331d9e38a55.jpg,Амуниция - Шлейка и поводок для кошек,750 
5565351d-7129-4a55-bbc7-4abe4b063cec.jpg,"Royal Canin (Роял Канин) - Sphynx 33 корм для кошек породы Сфинкс, 10 кг",36 800 
d70428d7-a0c6-41b8-b6a1-718a910fddce.jpg,"Royal Canin (Роял Канин) - Medium Adult, корм для собак средних пород (развес)",2 200 
df1b1c40-55e1-42bc-9e5f-cb5716ba2308.jpg,ZooМИР - Поводок брезентовый (25) 7 м,3 000 
389dd3f4-6308-4829-b98f-4ceb84eeb9d8.jpg,"Мнямс - Лакомство Палочка для кошек лосось и форель, 1 шт",200 
3c138474-e522-4905-8718-f04dc2aafa78.jpg,"Фармакс - Омега для кошек с биотином и таурином, упаковка 90 таблеток",600 
ffde9444-cf2f-4b0d-bf85-a003fe03cc5d.jpg,Каскад - Ошейник №20 кожаный с синтепоном,900 
a7995fe4-120c-4eb5-86c8-301204116888.jpg,Каскад - Ошейник №35 кожаный двойной с украшением,3 506 
7b2511c1-2c2e-476d-ba13-0e22a1e6027b.jpg,"Мнямс - Лакомство Палочка для кошек индейка и ягненок, 3 шт",500 
